model,seed,accuracy,precision,recall (sensitivity),specificity,f1,roc_auc
Decision Tree,8,0.9052132701421801,0.9370629370629371,0.9241379310344827,0.8636363636363636,0.9305555555555556,0.9315569487983281
Random Forest,8,0.985781990521327,0.9797297297297297,1.0,0.9545454545454546,0.9897610921501706,0.9994252873563219
Gradient Boosting,8,0.9715639810426541,0.9727891156462585,0.9862068965517241,0.9393939393939394,0.9794520547945206,0.999164054336468
Naive Bayes,8,0.966824644549763,0.9791666666666666,0.9724137931034482,0.9545454545454546,0.9757785467128027,0.9748171368861024
1D CNN,8,1.0,1.0,1.0,1.0,1.0,1.0
Q-CHAT-10 rule,9,1.0,1.0,1.0,1.0,1.0,1.0
Logistic Regression,9,1.0,1.0,1.0,1.0,1.0,1.0
SVM (RBF),9,1.0,1.0,1.0,1.0,1.0,1.0
KNN,9,0.9383886255924171,0.9583333333333334,0.9517241379310345,0.9090909090909091,0.9550173010380623,0.9905433646812957
Decision Tree,9,0.8767772511848341,0.9473684210526315,0.8689655172413793,0.8939393939393939,0.9064748201438849,0.9271682340647859
Random Forest,9,0.985781990521327,0.9797297297297297,1.0,0.9545454545454546,0.9897610921501706,0.9993207941483804
Gradient Boosting,9,0.990521327014218,0.9863945578231292,1.0,0.9696969696969697,0.9931506849315068,0.9989550679205851
Naive Bayes,9,0.943127962085308,0.9403973509933775,0.9793103448275862,0.8636363636363636,0.9594594594594594,0.9828631138975966
1D CNN,9,1.0,1.0,1.0,1.0,1.0,1.0
Q-CHAT-10 rule,10,1.0,1.0,1.0,1.0,1.0,1.0
Logistic Regression,10,1.0,1.0,1.0,1.0,1.0,1.0
SVM (RBF),10,1.0,1.0,1.0,1.0,1.0,1.0
KNN,10,0.985781990521327,0.9930555555555556,0.9862068965517241,0.9848484848484849,0.9896193771626297,0.9989550679205852
Decision Tree,10,0.9146919431279621,0.9379310344827586,0.9379310344827586,0.8636363636363636,0.9379310344827586,0.9529258098223615
Random Forest,10,0.981042654028436,0.9731543624161074,1.0,0.9393939393939394,0.9863945578231292,0.9996865203761754
Gradient Boosting,10,0.981042654028436,0.9795918367346939,0.993103448275862,0.9545454545454546,0.9863013698630136,0.9996865203761754
Naive Bayes,10,0.933649289099526,0.9337748344370861,0.9724137931034482,0.8484848484848485,0.9527027027027027,0.9713166144200627
1D CNN,10,0.995260663507109,1.0,0.993103448275862,1.0,0.9965397923875432,1.0
Q-CHAT-10 rule,11,1.0,1.0,1.0,1.0,1.0,1.0
Logistic Regression,11,1.0,1.0,1.0,1.0,1.0,1.0
SVM (RBF),11,0.976303317535545,0.9861111111111112,0.9793103448275862,0.9696969696969697,0.9826989619377162,0.9991640543364682
KNN,11,0.933649289099526,0.9851851851851852,0.9172413793103448,0.9696969696969697,0.95,0.9892894461859979
Decision Tree,11,0.9052132701421801,0.9562043795620438,0.903448275862069,0.9090909090909091,0.9290780141843972,0.9198014629049112
Random Forest,11,0.9620853080568721,0.959731543624161,0.9862068965517241,0.9090909090909091,0.9727891156462585,0.9959247648902821
Gradient Boosting,11,0.966824644549763,0.9791666666666666,0.9724137931034482,0.9545454545454546,0.9757785467128027,0.9966562173458725
Naive Bayes,11,0.9289099526066351,0.9452054794520548,0.9517241379310345,0.8787878787878788,0.9484536082474226,0.9521421107628005
1D CNN,11,0.990521327014218,1.0,0.9862068965517241,1.0,0.9930555555555556,0.9996865203761756
Q-CHAT-10 rule,12,1.0,1.0,1.0,1.0,1.0,1.0
Logistic Regression,12,1.0,1.0,1.0,1.0,1.0,1.0
SVM (RBF),12,0.995260663507109,1.0,0.993103448275862,1.0,0.9965397923875432,0.999791013584117
KNN,12,0.9620853080568721,0.9790209790209791,0.9655172413793104,0.9545454545454546,0.9722222222222222,0.9960815047021944
Decision Tree,12,0.8672985781990521,0.903448275862069,0.903448275862069,0.7878787878787878,0.903448275862069,0.9098223615464994
Random Forest,12,0.985781990521327,0.9797297297297297,1.0,0.9545454545454546,0.9897610921501706,0.9994775339602926
Gradient Boosting,12,0.976303317535545,0.972972972972973,0.993103448275862,0.9393939393939394,0.9829351535836177,0.9985370950888193
Naive Bayes,12,0.95260663507109,0.9530201342281879,0.9793103448275862,0.8939393939393939,0.9659863945578231,0.98380355276907
1D CNN,12,1.0,1.0,1.0,1.0,1.0,1.0
Q-CHAT-10 rule,13,1.0,1.0,1.0,1.0,1.0,1.0
Logistic Regression,13,1.0,1.0,1.0,1.0,1.0,1.0
SVM (RBF),13,1.0,1.0,1.0,1.0,1.0,1.0
KNN,13,0.95260663507109,0.9927007299270073,0.9379310344827586,0.9848484848484849,0.9645390070921985,0.9974399164054336
Decision Tree,13,0.9241706161137441,0.9574468085106383,0.9310344827586207,0.9090909090909091,0.9440559440559441,0.9536050156739811
Random Forest,13,0.990521327014218,0.9863945578231292,1.0,0.9696969696969697,0.9931506849315068,0.9995820271682341
Gradient Boosting,13,0.995260663507109,1.0,0.993103448275862,1.0,0.9965397923875432,1.0
Naive Bayes,13,0.943127962085308,0.9403973509933775,0.9793103448275862,0.8636363636363636,0.9594594594594594,0.9851619644723092
1D CNN,13,1.0,1.0,1.0,1.0,1.0,1.0
Q-CHAT-10 rule,14,1.0,1.0,1.0,1.0,1.0,1.0
Logistic Regression,14,1.0,1.0,1.0,1.0,1.0,1.0
SVM (RBF),14,0.990521327014218,1.0,0.9862068965517241,1.0,0.9930555555555556,0.9998955067920585
KNN,14,0.957345971563981,0.9788732394366197,0.9586206896551724,0.9545454545454546,0.9686411149825784,0.993312434691745
Decision Tree,14,0.8909952606635071,0.9236111111111112,0.9172413793103448,0.8333333333333334,0.9204152249134948,0.9294148380355276
Random Forest,14,0.990521327014218,0.9863945578231292,1.0,0.9696969696969697,0.9931506849315068,1.0
Gradient Boosting,14,0.981042654028436,0.993006993006993,0.9793103448275862,0.9848484848484849,0.9861111111111112,0.9988505747126436
Naive Bayes,14,0.943127962085308,0.9290322580645162,0.993103448275862,0.8333333333333334,0.96,0.9917450365726227
1D CNN,14,0.995260663507109,1.0,0.993103448275862,1.0,0.9965397923875432,1.0
Q-CHAT-10 rule,15,1.0,1.0,1.0,1.0,1.0,1.0
Logistic Regression,15,1.0,1.0,1.0,1.0,1.0,1.0
SVM (RBF),15,0.995260663507109,0.9931506849315068,1.0,0.9848484848484849,0.9965635738831615,1.0
KNN,15,0.985781990521327,1.0,0.9793103448275862,1.0,0.9895470383275261,0.9985370950888193
Decision Tree,15,0.8909952606635071,0.9420289855072463,0.896551724137931,0.8787878787878788,0.9187279151943463,0.9132706374085684
Random Forest,15,0.9715639810426541,0.9664429530201343,0.993103448275862,0.9242424242424242,0.9795918367346939,0.999164054336468
Gradient Boosting,15,0.990521327014218,0.9863945578231292,1.0,0.9696969696969697,0.9931506849315068,1.0
Naive Bayes,15,0.957345971563981,0.9415584415584416,1.0,0.8636363636363636,0.9698996655518395,0.9988505747126437
1D CNN,15,1.0,1.0,1.0,1.0,1.0,1.0
Q-CHAT-10 rule,16,1.0,1.0,1.0,1.0,1.0,1.0
Logistic Regression,16,1.0,1.0,1.0,1.0,1.0,1.0
SVM (RBF),16,0.995260663507109,0.9931506849315068,1.0,0.9848484848484849,0.9965635738831615,0.9994775339602926
KNN,16,0.957345971563981,0.9788732394366197,0.9586206896551724,0.9545454545454546,0.9686411149825784,0.9926332288401254
Decision Tree,16,0.9004739336492891,0.918918918918919,0.9379310344827586,0.8181818181818182,0.9283276450511946,0.9246603970741902
Random Forest,16,0.976303317535545,0.9666666666666667,1.0,0.9242424242424242,0.9830508474576272,0.9990595611285267
Gradient Boosting,16,0.9715639810426541,0.9793103448275862,0.9793103448275862,0.9545454545454546,0.9793103448275862,0.9983281086729362
Naive Bayes,16,0.9478672985781991,0.935064935064935,0.993103448275862,0.8484848484848485,0.9632107023411371,0.9405433646812957
1D CNN,16,1.0,1.0,1.0,1.0,1.0,1.0
Q-CHAT-10 rule,17,1.0,1.0,1.0,1.0,1.0,0.9999999999999999
Logistic Regression,17,1.0,1.0,1.0,1.0,1.0,1.0
SVM (RBF),17,0.990521327014218,0.9863945578231292,1.0,0.9696969696969697,0.9931506849315068,1.0
KNN,17,0.966824644549763,0.9791666666666666,0.9724137931034482,0.9545454545454546,0.9757785467128027,0.9969174503657262
Decision Tree,17,0.8767772511848341,0.9103448275862069,0.9103448275862069,0.803030303030303,0.9103448275862069,0.8770637408568442
Random Forest,17,0.957345971563981,0.9415584415584416,1.0,0.8636363636363636,0.9698996655518395,0.9993730407523511
Gradient Boosting,17,0.966824644549763,0.9539473684210527,1.0,0.8939393939393939,0.9764309764309764,0.9992685475444096
Naive Bayes,17,0.943127962085308,0.934640522875817,0.9862068965517241,0.8484848484848485,0.959731543624161,0.9892371995820272
1D CNN,17,0.990521327014218,0.993103448275862,0.993103448275862,0.9848484848484849,0.993103448275862,0.999791013584117
Q-CHAT-10 rule,18,1.0,1.0,1.0,1.0,1.0,1.0
Logistic Regression,18,1.0,1.0,1.0,1.0,1.0,1.0
SVM (RBF),18,1.0,1.0,1.0,1.0,1.0,1.0
KNN,18,0.981042654028436,1.0,0.9724137931034482,1.0,0.986013986013986,0.9991640543364682
Decision Tree,18,0.909952606635071,0.95,0.9172413793103448,0.8939393939393939,0.9333333333333333,0.9305642633228841
Random Forest,18,0.985781990521327,0.9797297297297297,1.0,0.9545454545454546,0.9897610921501706,1.0
Gradient Boosting,18,1.0,1.0,1.0,1.0,1.0,1.0
Naive Bayes,18,0.957345971563981,0.9473684210526315,0.993103448275862,0.8787878787878788,0.9696969696969697,0.9515673981191222
1D CNN,18,0.995260663507109,0.9931506849315068,1.0,0.9848484848484849,0.9965635738831615,1.0
Q-CHAT-10 rule,19,1.0,1.0,1.0,1.0,1.0,1.0
Logistic Regression,19,1.0,1.0,1.0,1.0,1.0,1.0
SVM (RBF),19,0.995260663507109,0.9931506849315068,1.0,0.9848484848484849,0.9965635738831615,1.0
KNN,19,0.976303317535545,0.9861111111111112,0.9793103448275862,0.9696969696969697,0.9826989619377162,0.997387669801463
Decision Tree,19,0.909952606635071,0.9436619718309859,0.9241379310344827,0.8787878787878788,0.9337979094076655,0.9517241379310346
Random Forest,19,0.985781990521327,0.9797297297297297,1.0,0.9545454545454546,0.9897610921501706,0.9994775339602926
Gradient Boosting,19,0.976303317535545,0.972972972972973,0.993103448275862,0.9393939393939394,0.9829351535836177,0.9990595611285266
Naive Bayes,19,0.95260663507109,0.9470198675496688,0.9862068965517241,0.8787878787878788,0.9662162162162162,0.9868338557993731
1D CNN,19,0.995260663507109,0.9931506849315068,1.0,0.9848484848484849,0.9965635738831615,1.0
